att-rnn::
emb, dmod, hid, layer, qwk
128, 128, 128, 3, 0.633


att-bi-lstm::
emb, dmod, hid, layer, dropout, qwk
256, 256, 256, 3, 0.5, 0.551
128, 128, 128, 3, 0.0, 0.609
128, 128, 128, 3, 0.5, 0.581
128, 128, 128, 2, 0.5, 0.584
128, 128, 128, 1, 0.5, 0.581
128, 64, 64, 3, 0.5, 0.622
64, 128, 64, 3, 0.5, 0.642
64, 256, 64, 3, 0.5, 0.626
64, 64, 128, 3, 0.5, 0.611
64, 64, 64, 3, none, 0.683
64, 64, 64, 3, 0.5, 0.653
64, 64, 64, 2, 0.0, 0.608
64, 64, 64, 2, 0.5, 0.659
64, 64, 64, 1, 0.5, 0.630
32, 64, 32, 3, 0.5, 0.602


att-lstm::
64, 64, 64, 3, 0.5, 0.564
