文件名,文章内容,作文题目,作文分数
qinglihou_199704123525200201.txt,"对我影响最大的人是我母亲。因为我生下来就每天跟她在一起。小时候我看她做什么，我就模仿她做什么。长大了以后虽然我不再跟着她，可是有的地方很像她，比如说话的口气、穿着等等。
以前我根本不喜欢她的口气，可是最近发现了我的口气却渐渐地像她的口气。但我认为这是无可奈何的。因为二十多年我天天听她的话长大的，这么一来我的口气不可能跟她完全不同。这是不好的影响。可是也有好的方面。有时候我们一起去逛商店，那时候我们的意见往往是一致的。我喜欢的衣服她也喜欢，她喜欢让我穿的衣服我也喜欢。
不过最好的地方还是看电视。现在我在北京，不能看日本的电视节目，所以我母亲经常录下来给我看。
我们俩都喜欢聊天。我一给母亲打电话，我们就聊十五分钟至二十分钟。我们说应该改变这个习惯，可是现在还不能改。
我不太相信母亲对我影响很大，可是仔细想想看，有很多地方很像，这说明她对我有一些影响。说别人，没有跟她那样影响我。",记对我影响最大的一个人,85.0
qinglihou_200105109525100770.txt,"中国有五千年的悠久历史，其间产生了很多民间传说。那些传说各个都有意义，我们从传说里可以得到启发。“三个和尚没水喝”的故事也如此。
简单地说，这篇小故事告诉我们友好合作的重要性。世上有很多只顾自己不顾他人，只顾现在不顾将来的人。这篇小故事告诉我们，只追求自己个人的利益不追求大家共同的利益，导致连个人的利益也得不到的严重后果。
现在我到中国学了六年汉语。在这片陌生的土地上很难独自生活。我在长达六年的留学生活中，得到了很多人的帮助支持。为此我感到满意并可以结束自己留学生活。",由“三个和尚没水喝”想到的……,65.0
qinglihou_199810602801250006.txt,"挫折是我们日常都会遇到的。在我考大学]时，有一晚听了一个很不幸的消息，就是我爷爷病逝。当时心里很难过。因为不能去香港见爷爷最后的一面。但是要应对后天的考试，所以尽力专心读书。心想爷爷在天堂]也希望我会拿到好成绩。
不知道是自己不能专心读书或是平常没有好好地温习课内的书本。我考试不及格了！看看那张成绩表差点儿哭了起来。心想，为什么不及格呢？第二天，立刻赶快到大学问一问老师。他对我说，因为你的字体写得不好，没有人能看得出你写什么，所以就不及格。我听到这句话觉得不公平，但是没有办法，只好改改我写的字吧，
一开始，觉得很辛苦。因为这么多年的习惯是很难改。但是如果改不好，那么我做所有的考试都会遇到这个压力。我每天都写字，先易后难，英文的、中文的，都会写好几遍。
下一次的考试，我合格了！老师对我说，我的字体有很大的进步，虽然这个挫折不是那么的严重，但是我领会到了一些事。那就是不要怕困难或挫折，如果想成功的话，一定要把挫折变成动力。如果只有唉声叹气，怨天尤人的话，那么生命也没有意义。",如何面对挫折,70.0
qinglihou_199904124523200281.txt,"我们在生活和工作中,由于出乎意料的事情遇到很多困难或挫折。随着社会发展，有的人不适应社会的趋势，只好放弃自己的全部，可能不少这样的人.这些人在生活和工作上就是失败者。他们应该能够转败为胜.但是他们的根本原因是没有自信、自强的精神，应该失败中得到胜利的办法。
　　另一方面，有的人面对挫折时，不管他们遇到什么样的困难，他们由于自信感不怕挫折反而他们能够从失败中吸取教训。
　　对我来说，“如何面对挫折”关于这个问题我从来没有深深地思考，但是我也是在生活和学习中遇到许多困难或挫折，特别是我来中国以后发生了许多问题。这时候，一遇到困难就要挫折，但是我如果这时就要放弃自身的全部，要挫折的话，就没有了现在的我。
　　现在我要说的是虽然我们在生活、工作和学习中一定遇到许多困难或挫折，但是我们应该在自信感下面对挫折。因此，我希望大家将来都成为生活的强者、成为社会的成功者。",如何面对挫折,70.0
qinglihou_200509801801250001.txt,"古语有云：“虎父无犬子，慈母多败儿。”说父母是孩子的第一任老师并不为过。
父母在孩子生活中占着最重要的部分。孩子和父母相处的时间最久，从孩提时起，牙牙学语的时候，孩子们都是在观察父母的言行中学习的。
对于我个人而言，父母的影响比环境因素强。自小灌输的观念，文化的熏陶，兴趣的培养，直至做人处世的观点和态度都是父母无言间留在心里的烙印。
就以我自己为例，母亲从胎儿期间教导的音乐欣赏，父亲在我童年时鼓励的阅读习惯等都间接地提高了我的文化修养。
可是随着人民物质上的丰富和需求，很多年轻父母都被困在繁忙的工作中，教育孩子的责任旁落在别人身上，很多时候导致长大后的孩子对父母感情生疏。这些都是父母所创造的环境所引起的。
“有其父，必有其子，”是中国自古流传的说法，古代也有不少例子。就如苏轼父子，杨家将等千古传颂的父子故事，都说明了父母对孩子成长培育方面的重大影响。
总而言之，父母是孩子们最重要的第一位老师，他们潜移默化的影响下为孩子的将来建立了一定程度的基础。",父母是孩子的第一任老师,70.0
qinglihou_200405109525201833.txt,"你吸烟吗？你为什么开始吸烟？现在很多青年人要吸烟，因为他们觉得吸烟很好看，所以对吸烟感兴趣。但是吸烟对身体有什么好处呢？吸烟对人那么好吗？我觉得“不”。
现在虽然很多青年人吸烟，但是吸烟的中年人越来越少。因为他们都知道吸烟是害人的，不仅是害吸烟者自己，而且害他们周围的人们。现在吸烟者的问题大了，很多人在公共场所边走边抽烟，而且抽完以后随便扔掉，特别伤害别人的身体。因此在东京开始了对吸烟者严厉的惩罚措施，而且规定了抽烟的地方。现在吸烟很困难。",吸烟对个人健康和公众利益的影响,55.0
qinglihou_200209550523250871.txt,"代沟是上一辈与下一辈之间在行为、生活态度以及价值观念等方面存在的一种差异。这样的代沟问题，有史以来人们不可能避免，不可能完全消除，我们只能努力来避免代沟加深，互相得到圆满的沟通，也可以说是解决代沟问题。这样的角度来提示解决方法。
首先，父母长辈们和孩子们抽出很多时间确保互相了解的机会。两代增加了共同的娱乐时间、活动，例如一天他们全体一起去看父母喜欢的电影，改天再去看孩子们喜欢的卡通电影片。
第二，父母与孩子们尽量努力留出时间对话。人与人之间说话是最方便的一个捷径。孩子们对爸爸、妈妈说朋友关系，学校生活情况等等。这样经过相互对话和沟通，增加了长辈和晚辈的了解，以免发生代沟问题。
总之，代沟问题是不会得到彻底的解决。但是，各退一步，让一步地打下共同和睦相处的基础代沟问题就不成问题了。",如何解决“代沟”问题,65.0
qinglihou_199804123523200085.txt,"我初次接触到汉语这种语言，我真是兴奋不已的。带着好奇心学下汉字来真是让人兴奋不已。过了一段时间我的耳朵听懂了别人的讲话，而且我会讲一点中国话了。那时我发现我自己不停地跟中国人讲话，不知不觉地流利起中国话来了。我对中国话的发音非常有兴趣。因为它的发音有4个声调。根据不同的声调，生词的意思也不一样。我就觉得汉语的妙处与乐趣在这里。我这样一直说它的乐趣点并不是没有它难点。人们经常说“要学外语，就非要下功夫不可。”无论学哪种语言，都不容易的。我呢？我也不例外，而且我是个韩国人。韩国的语法和汉语的语法是相反的。比如：“我吃饭了”这个句子是中国的。那么韩国的呢？就是“我饭吃了”。这样相反的语法的原因，我从开始学汉语一直到现在受到许多苦与困难，有时在课堂上被老师批评，有时让我自己失去了自信心，甚至有时对汉语没有什么大的兴趣了。
当时我遇到了这样的情况，但我从那样的困境中解脱出来了。我现在还认为汉语的语法难，但用破釜沉舟的精神来对待这个莫名其妙的汉语，汉语，我爱你。",学习汉语的苦与乐,65.0
qinglihou_200505109525200295.txt,"对“父母是孩子的第一任老师”这一说法我完全同意。因为我这个人就很受父母的影响长大的，再说我的周围的人也在他们的爱好、思想观念上看得出父母的影响来。
拿我给个例子。我父亲是爱静的人，一回来就去他的屋子里弄电脑或看书。我小时候，经常跟着他去他的房间，虽然当时他弄的电脑或书我都不懂，但是我喜欢那个气氛。在安安静静的房间里，时间慢慢地过去。爸爸在那里可以完全放松，那里没什么压力，他把工作上的压力全部忘掉，可以投入到自己喜欢的世界中去。我常跟他共有那段幸福的时间，虽然我长大以后不怎么这样做，但是我开始像他一样关在房间里了。结果，我也养成了跟他同样的爱好——看书、弄电脑。
除了爱好以外，我在方方面面都受了很多父母的影响。有的是好的，也有的是坏的。我认为我之所以受这么大的影响是因为我父母爱我，父母跟孩子在一起的时间越多，我受的影响也会越增加。所以我为我受他们的影响而感到幸福。",父母是孩子的第一任老师,65.0
qinglihou_200105550523250066.txt,"亲爱的爸妈：
您好！我是你们的可爱的女儿，。这样给爸妈写信可能是第一次。但，我每天想着你们，感谢着你们。
最近我很忙，所以有的时候，整天连爸爸的脸也没见到。这样，我心都碎了。你们还记得吗？我上学前，我的家人每个周末去外边旅游。那时候的情景我还历历在目。但，现在我和哥哥都长大了，没有机会跟爸妈过。真遗憾。
我在中国留学的时候，妈妈很担心，每天给我打电话问好。所以，虽然在中国生活，但一点儿也不孤独。那时，我的同学们赞扬妈妈说：“真了不起。天底下没有你父母那样爱子女的人。”所以，为了你们，我每天埋头苦干学习了汉语。现在我很幸福，因为我让你们高兴。上次我的中国朋友来到汉城的时候，我跟他自由自在聊天儿时，我看到了你们脸上挂着微微地笑容。是吧？那时候，我感到真幸福。
为了让我成为望女成凤，你们每天去外边工作，给我学习的机会，深深地感谢。
我有一句不好意思亲口说的话，今天抓住这次机会说。“爸，妈！我真正爱你们，尊重你们。”其实，现在谁都不羡慕，因为我可享受世界上最美，最理想的天伦之乐。谢谢！
那，我今天写到这里。再见！
祝你们健康。
2001年5月12日
宝贝",一封写给父母的信,75.0
